id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
461521,2013-11-09,2013-11-09,,Central Time (US & Canada),22315,chelsieracey,"",2013-11-18 23:28:50 UTC,2018-02-13 21:07:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/461521,https://inaturalist-open-data.s3.amazonaws.com/photos/582113/medium.png,,Cache River,"",1,0,false,,"Heron Pond, Illinios",37.352848,-88.909857,769,,,,28417,,open,false,,,,Johnson,Illinois,United States,Illinois,Johnson,river cane,Arundinaria gigantea,river cane,Plantae,121747
462139,2013-11-19,2013-11-19,,Hawaii,22314,alexross,,2013-11-19 18:39:11 UTC,2016-03-10 17:27:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/462139,https://inaturalist-open-data.s3.amazonaws.com/photos/582926/medium.,,"","",2,0,false,,Ross Farms,37.386356,-89.008226,211,,,,211,,open,false,,,,Johnson,Illinois,United States,Illinois,Johnson,River Cane,Arundinaria gigantea,river cane,Plantae,121747
476904,2013-11-24,2013-11-24,,Eastern Time (US & Canada),4860,rcurtis,Rob Curtis,2013-12-06 03:17:18 UTC,2018-03-30 02:12:14 UTC,research,CC-BY,http://www.inaturalist.org/observations/476904,https://inaturalist-open-data.s3.amazonaws.com/photos/601710/medium.JPG,,"",in Pigeon Creek floodplain,2,0,false,,"Seiverville, TN",35.801345,-83.451972,10670,,,,10670,,,false,,manual,,Sevier,Tennessee,United States,Tennessee,Sevier,river cane,Arundinaria gigantea,river cane,Plantae,121747
533180,Sun Feb 16 2014 12:22:03 GMT-0600 (CST),2014-02-16,2014-02-16 18:22:03 UTC,Central Time (US & Canada),13518,milopyne,Milo Pyne,2014-02-16 20:32:20 UTC,2016-02-14 21:56:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/533180,https://inaturalist-open-data.s3.amazonaws.com/photos/678276/medium.JPG,,"",lower slopes along trail,2,0,false,3,"Percy Warner Park, Nashville, TN, US",36.065376,-86.8955,30,,,,30,,,false,,,,Davidson,Tennessee,United States,Tennessee,Davidson,River Cane,Arundinaria gigantea,river cane,Plantae,121747
545133,2014-02-15 16:20:52,2014-02-15,2014-02-15 21:20:52 UTC,Eastern Time (US & Canada),5892,botanygirl,"",2014-02-27 01:32:44 UTC,2014-10-20 15:16:35 UTC,research,CC-BY,http://www.inaturalist.org/observations/545133,https://inaturalist-open-data.s3.amazonaws.com/photos/694181/medium.jpg,,"","",2,0,false,,"Palmetto-Peartree Preserve, North Carolina",35.991339,-76.140607,214,,,,214,,,false,,,,Tyrrell,North Carolina,United States,North Carolina,Tyrrell,Arundinaria gigantea,Arundinaria gigantea,river cane,Plantae,121747
619923,2014-04-11,2014-04-11,,Central Time (US & Canada),34728,cosmiccat,Cosmic Cat,2014-04-12 00:37:20 UTC,2018-03-17 05:15:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/619923,https://inaturalist-open-data.s3.amazonaws.com/photos/779633/medium.JPG,,"","",1,0,false,,"Longview, TX",32.488667,-94.756737,111,,,,111,,,false,,"",,Gregg,Texas,United States,Texas,Gregg,Arundinaria gigantea,Arundinaria gigantea,river cane,Plantae,121747
641426,2014-04-21 4:24:08 PM CDT,2014-04-21,2014-04-21 21:24:08 UTC,Central Time (US & Canada),17201,matthewherron,Matthew Herron,2014-04-24 22:32:04 UTC,2016-03-05 10:28:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/641426,https://inaturalist-open-data.s3.amazonaws.com/photos/808359/medium.jpg,,"","",1,0,false,2,"Saint Tammany County, US-LA, US",30.5080465,-89.96588577,9,,,,9,,,false,gps,gps,,,Louisiana,United States,Louisiana,St. Tammany,River Cane (Arundinaria gigantea),Arundinaria gigantea,river cane,Plantae,121747
733554,Wed Jun 11 2014 14:58:19 GMT-0400 (EDT),2014-06-11,2014-06-11 18:58:19 UTC,Eastern Time (US & Canada),27509,richard_candler,Richard Candler,2014-06-12 11:35:17 UTC,2015-04-03 16:42:11 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/733554,https://inaturalist-open-data.s3.amazonaws.com/photos/921821/medium.jpg,,"","",1,0,false,3,"1–199 Bloomfield Way, Sharpsburg, GA, US",33.379115,-84.619861,1141,,,,1141,,,false,,,,Coweta,Georgia,United States,Georgia,Coweta,River Cane,Arundinaria gigantea,river cane,Plantae,121747
857715,Mon Sep 01 2014 12:09:34 GMT-0500 (CDT),2014-09-01,2014-09-01 17:09:34 UTC,Central Time (US & Canada),49118,lauramorganclark,Laura Clark,2014-09-01 21:08:27 UTC,2017-09-25 21:37:07 UTC,research,CC-BY,http://www.inaturalist.org/observations/857715,https://inaturalist-open-data.s3.amazonaws.com/photos/1087668/medium.jpg,,"",,1,0,false,37,"1296–2024 County Road 101, Jasper, TX, US",30.938841,-94.14307,303,,,,303,,,false,,,,Jasper,Texas,United States,Texas,Jasper,River Cane,Arundinaria gigantea,river cane,Plantae,121747
911588,2014-10-04 14:12:56,2014-10-04,2014-10-04 18:12:56 UTC,Eastern Time (US & Canada),13142,annwf,Ann Walter-Fromson,2014-10-06 18:56:25 UTC,2017-01-18 18:59:53 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/911588,https://inaturalist-open-data.s3.amazonaws.com/photos/1162616/medium.jpg,,"Native plants, fall, Pilot Mtn SP",Growing in a river flood plain.,1,0,false,,"East Bend, North Carolina, United States",36.258655,-80.4971,12544,,,,12544,,,false,,,,Surry,North Carolina,United States,North Carolina,Surry,River Cane,Arundinaria gigantea,river cane,Plantae,121747
1024854,Sat Oct 18 2014 13:59:49 GMT-0500 (CDT),2014-10-18,2014-10-18 18:59:49 UTC,Central Time (US & Canada),49118,lauramorganclark,Laura Clark,2014-10-18 23:44:43 UTC,2017-09-25 22:03:08 UTC,research,CC-BY,http://www.inaturalist.org/observations/1024854,https://inaturalist-open-data.s3.amazonaws.com/photos/1284857/medium.jpg,,"",,1,0,false,37,"County Road 153, Jasper, TX, US",30.8067966667,-94.1647721667,,,,,,,,false,,,,Jasper,Texas,United States,Texas,Jasper,River Cane,Arundinaria gigantea,river cane,Plantae,121747
1026451,2014-10-18,2014-10-18,,Central Time (US & Canada),34728,cosmiccat,Cosmic Cat,2014-10-20 00:36:52 UTC,2015-08-23 08:17:46 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1026451,https://static.inaturalist.org/photos/1286965/medium.jpg,,"","",1,0,false,,"Louisiana, US",32.6831412768,-92.9832840703,2220,,,,29052,obscured,,true,,"",,,Louisiana,United States,Louisiana,Claiborne,River Cane,Arundinaria gigantea,river cane,Plantae,121747
1032289,2014-10-12 10:35:10,2014-10-12,2014-10-12 14:35:10 UTC,Eastern Time (US & Canada),13142,annwf,Ann Walter-Fromson,2014-10-23 21:13:15 UTC,2017-01-18 19:01:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1032289,https://inaturalist-open-data.s3.amazonaws.com/photos/1295129/medium.jpg,,"native plants, Pettigrew SP, fall","",1,0,false,,"Galilee Mission, North Carolina, United States",35.789505,-76.409073,,,,,,,,false,,,,"Washington County, US, NC",North Carolina,United States,North Carolina,"Washington County, US, NC",River Cane,Arundinaria gigantea,river cane,Plantae,121747
1042995,2014-10-28 3:29:52 PM CDT,2014-10-28,2014-10-28 20:29:52 UTC,Central Time (US & Canada),54316,aconaway,,2014-10-28 22:08:21 UTC,2019-02-22 00:58:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1042995,https://inaturalist-open-data.s3.amazonaws.com/photos/1308467/medium.jpg,,"","",1,0,false,2,"Limekiln Springs Trail, Pulaski county, Illinois, U.S.A.",37.251242,-89.132487,23906,,,,28417,,open,false,gps,gps,,Pulaski,Illinois,United States,Illinois,Pulaski,giant cane,Arundinaria gigantea,river cane,Plantae,121747
1180327,2015-01-16 12:05:46,2015-01-16,2015-01-16 17:05:46 UTC,Eastern Time (US & Canada),28545,allenratzlaff,J. Allen Ratzlaff,2015-01-17 14:10:10 UTC,2018-11-06 17:27:26 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1180327,https://static.inaturalist.org/photos/1490249/medium.jpg,,"","",2,0,false,,"Warren Wilson College, Swannanoa, North Carolina",35.60815,-82.444689,27,,,,27,,,false,,,,Buncombe,North Carolina,United States,North Carolina,Buncombe,river cane,Arundinaria gigantea,river cane,Plantae,121747
1296069,2015-03-15 1:10:18 PM CDT,2015-03-15,2015-03-15 18:10:18 UTC,Central Time (US & Canada),17201,matthewherron,Matthew Herron,2015-03-16 01:35:32 UTC,2016-03-05 10:28:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1296069,https://inaturalist-open-data.s3.amazonaws.com/photos/1626094/medium.jpg,,,"",1,0,false,2,"West Feliciana County, US-LA, US",30.92766107,-91.50935314,22,,,,22,,,false,gps,gps,,,Louisiana,United States,Louisiana,West Feliciana,River Cane,Arundinaria gigantea,river cane,Plantae,121747
1393432,2015-03-24 2:17:44 PM CDT,2015-03-24,2015-03-24 19:17:44 UTC,Central Time (US & Canada),83571,kadota21,"",2015-04-14 15:44:24 UTC,2016-03-10 17:25:17 UTC,research,,http://www.inaturalist.org/observations/1393432,https://static.inaturalist.org/photos/1722842/medium.jpg,,"cane, river cane, river, green","",1,0,false,2,"Johnson County, US-IL, US",37.361853,-88.927195,842,,,,842,,open,false,,,,Johnson,Illinois,United States,Illinois,Johnson,Reed,Arundinaria gigantea,river cane,Plantae,121747
1396644,Fri Apr 03 2015 13:48:00 GMT-0500 (CDT),2015-04-03,2015-04-03 18:48:00 UTC,Central Time (US & Canada),15723,reallifeecology,Jonathan (JC) Carpenter,2015-04-15 23:32:47 UTC,2020-04-26 08:49:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1396644,https://inaturalist-open-data.s3.amazonaws.com/photos/1726799/medium.jpg,,"",,2,0,false,3,"Russell Cave National Monument, Jackson County, US-AL, US",34.979256,-85.810607,5,,,,5,,,false,,,,Jackson,Alabama,United States,Alabama,Jackson,river cane,Arundinaria gigantea,river cane,Plantae,121747
1396711,Wed Apr 08 2015 15:15:48 GMT-0500 (CDT),2015-04-08,2015-04-08 20:15:48 UTC,Central Time (US & Canada),15723,reallifeecology,Jonathan (JC) Carpenter,2015-04-15 23:33:07 UTC,2016-03-05 10:28:53 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1396711,https://inaturalist-open-data.s3.amazonaws.com/photos/1726885/medium.jpg,,,,1,0,false,3,"Franklin County, US-TN, US",35.28974,-85.917533,5,,,,5,,,false,,,,Franklin,Tennessee,United States,Tennessee,Franklin,arundinaria gigantea,Arundinaria gigantea,river cane,Plantae,121747
1408885,2015-04-19 11:11:39,2015-04-19,2015-04-19 15:11:39 UTC,Eastern Time (US & Canada),69687,lscknwrbiota,"",2015-04-20 15:24:35 UTC,2015-05-31 08:00:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1408885,https://inaturalist-open-data.s3.amazonaws.com/photos/1743283/medium.JPG,,"",,1,0,false,,"Alachua, Florida, United States",29.7058861111,-82.4554222222,,,,,,,,false,,,,Alachua,Florida,United States,Florida,Alachua,giant cane,Arundinaria gigantea,river cane,Plantae,121747
1446404,Sat May 02 2015 10:02:14 GMT-0500 (CDT),2015-05-02,2015-05-02 15:02:14 UTC,Central Time (US & Canada),81164,jerryd,"",2015-05-02 17:51:01 UTC,2015-05-31 08:00:27 UTC,research,,http://www.inaturalist.org/observations/1446404,https://static.inaturalist.org/photos/1790664/medium.jpg,,"",When the stand for the walk-through will be 20 feet 30 feet all day they had a flower in the hosting it will die back to the ground the ground already five years okay they have some niceGreat keep it down so we'll see.,1,0,false,3,"77657, Lumberton, TX, US",30.254841,-94.170071,5,,,,5,,,false,,,,Hardin,Texas,United States,Texas,Hardin,River Cane,Arundinaria gigantea,river cane,Plantae,121747
1485359,2015-05-13 2:39:28 PM CDT,2015-05-13,2015-05-13 19:39:28 UTC,Central Time (US & Canada),83576,ericsevans,,2015-05-13 19:41:01 UTC,2019-12-16 18:20:24 UTC,research,,http://www.inaturalist.org/observations/1485359,https://static.inaturalist.org/photos/1840837/medium.jpg,,"","",2,0,false,2,"Pulaski County, US-IL, US",37.30683,-89.19877449,9,,,,9,,open,false,gps,gps,,Pulaski,Illinois,United States,Illinois,Pulaski,river cane,Arundinaria gigantea,river cane,Plantae,121747
1732050,2015-07-05,2015-07-05,,Central Time (US & Canada),56498,anewman,Andy Newman,2015-07-07 10:21:14 UTC,2016-01-01 06:06:38 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1732050,https://inaturalist-open-data.s3.amazonaws.com/photos/2098984/medium.JPG,,"","",1,0,false,,Mammoth Cave,37.18616,-86.099975,1728,,,,1728,,,false,,,,Edmonson,Kentucky,United States,Kentucky,Edmonson,Arundinaria gigantea,Arundinaria gigantea,river cane,Plantae,121747
1794582,2014-04-27 07:29:41,2014-04-27,2014-04-27 11:29:41 UTC,Eastern Time (US & Canada),15723,reallifeecology,Jonathan (JC) Carpenter,2015-07-24 03:27:20 UTC,2023-04-25 02:04:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1794582,https://inaturalist-open-data.s3.amazonaws.com/photos/2174552/medium.JPG,,"","",2,0,false,,"8131 Georgia 54, Sharpsburg, GA 30277",33.383221,-84.614382,1021,,,,1021,,,false,,manual,,Coweta,Georgia,United States,Georgia,Coweta,river cane,Arundinaria gigantea,river cane,Plantae,121747
1894574,2015-08-19,2015-08-19,,Eastern Time (US & Canada),8977,bendingtree,"",2015-08-26 23:37:07 UTC,2016-01-01 06:07:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1894574,https://inaturalist-open-data.s3.amazonaws.com/photos/2311144/medium.JPG,,"river cane, wild bamboo, Arundinaria gigantea, Davis Memorial State Nature Preserve, ohio, Poaceae",Large colony at trail entrance. Unclear if this was a native population or persisting from cultivation.,1,0,false,,"Davis Memorial, Peebles, Ohio",38.930531,-83.37483,2362,,,,2362,,,false,,,,Adams,Ohio,United States,Ohio,Adams,River Cane,Arundinaria gigantea,river cane,Plantae,121747
1909770,Tue Sep 01 2015 07:08:35 GMT-0500 (CDT),2015-09-01,2015-09-01 12:08:35 UTC,Central Time (US & Canada),11792,kylejones,Kyle Jones,2015-09-01 13:47:23 UTC,2023-03-27 07:55:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1909770,https://inaturalist-open-data.s3.amazonaws.com/photos/2331624/medium.jpg,,"",,2,0,false,3,"Mammoth Cave National Park, Edmonson County, US-KY, US",37.179295,-86.1079945,,,,,,,,false,,,,Edmonson,Kentucky,United States,Kentucky,Edmonson,river cane,Arundinaria gigantea,river cane,Plantae,121747
1953001,Wed Sep 16 2015 15:08:04 GMT-0400 (EDT),2015-09-16,2015-09-16 19:08:04 UTC,Eastern Time (US & Canada),122013,atribeapart,,2015-09-16 22:25:29 UTC,2016-01-01 06:07:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1953001,https://inaturalist-open-data.s3.amazonaws.com/photos/2392835/medium.jpg,,,,1,0,false,3,"118–182 Moccasin Bend Rd, Chattanooga, TN, US",35.030079,-85.333122,10,,,,10,,,false,,,Chattanooga,Hamilton,Tennessee,United States,Tennessee,Hamilton,River Cane,Arundinaria gigantea,river cane,Plantae,121747
1955037,2015-09-14 2:39:10 PM EDT,2015-09-14,2015-09-14 18:39:10 UTC,Eastern Time (US & Canada),5892,botanygirl,"",2015-09-17 15:57:17 UTC,2021-10-01 11:40:01 UTC,research,CC-BY,http://www.inaturalist.org/observations/1955037,https://inaturalist-open-data.s3.amazonaws.com/photos/2395666/medium.JPG,,"","",1,0,false,,"Indian River Park, Chesapeake, VA",36.801047,-76.223788,103,,,,103,,,false,,,,Chesapeake,Virginia,United States,Virginia,Chesapeake,river cane,Arundinaria gigantea,river cane,Plantae,121747
2001045,Sat Sep 26 2015 12:01:05 GMT-0400 (EDT),2015-09-26,2015-09-26 16:01:05 UTC,Eastern Time (US & Canada),12512,chrisgoforth,Chris Goforth,2015-09-26 16:01:43 UTC,2017-01-18 19:44:35 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/2001045,https://static.inaturalist.org/photos/2434490/medium.jpg,,,,1,0,false,3,"150 N Clover Way, Columbia, NC, US",35.934907,-76.358465,10,,,,10,,,false,,,,Tyrrell,North Carolina,United States,North Carolina,Tyrrell,River Cane,Arundinaria gigantea,river cane,Plantae,121747
2086323,Wed Oct 07 2015 16:41:38 GMT-0500 (CDT),2015-10-07,2015-10-07 21:41:38 UTC,Central Time (US & Canada),52839,glmory,Jesse Rorabaugh,2015-10-08 14:56:04 UTC,2017-09-04 20:22:40 UTC,research,CC-BY,http://www.inaturalist.org/observations/2086323,https://inaturalist-open-data.s3.amazonaws.com/photos/2495831/medium.jpg,,,,1,0,false,3,"1266 Stones River Rd, Nashville, TN, US",36.19328,-86.6572033333,,,,,,,,false,,,,Davidson,Tennessee,United States,Tennessee,Davidson,River Cane,Arundinaria gigantea,river cane,Plantae,121747
2365439,2015-11-09,2015-11-09,,Central Time (US & Canada),151498,eattaway92,Erik Attaway,2015-11-09 21:30:48 UTC,2019-02-22 01:18:55 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2365439,https://inaturalist-open-data.s3.amazonaws.com/photos/2632440/medium.JPG,,"giant cane, bamboo, illinois, southern illinois","",1,0,false,,"1–299 Oak Hills Ln, Carbondale, IL, US",37.698386,-89.207901,76,,,,28359,,open,false,,,,Jackson,Illinois,United States,Illinois,Jackson,River Cane (Giant cane),Arundinaria gigantea,river cane,Plantae,121747
2447604,2015-11-25,2015-11-25,,Eastern Time (US & Canada),4172,chia,Chia aka Cory Chiappone,2015-12-03 17:01:36 UTC,2015-12-06 13:31:38 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2447604,https://inaturalist-open-data.s3.amazonaws.com/photos/2732685/medium.JPG,,"",it looked like bamboo,1,0,false,,"UNF Ne Jacksonville, Florida",30.266573,-81.516516,229,,,,229,,,false,,,,Duval,Florida,United States,Florida,Duval,River Cane,Arundinaria gigantea,river cane,Plantae,121747
2488259,2015-09-30 18:03:56,2015-09-30,2015-09-30 23:03:56 UTC,Central Time (US & Canada),2991,sea-kangaroo,"",2015-12-19 04:07:18 UTC,2019-02-22 00:01:49 UTC,research,CC-BY,http://www.inaturalist.org/observations/2488259,https://inaturalist-open-data.s3.amazonaws.com/photos/2790319/medium.JPG,,canebrake,"",1,0,false,,"Heron Pond, Cache River State Natural Area, Illinois, USA",37.358851,-88.920586,519,,,,28417,,open,false,,manual,,Johnson,Illinois,United States,Illinois,Johnson,River Cane,Arundinaria gigantea,river cane,Plantae,121747
2507862,Sun Dec 27 2015 10:31:53 GMT-0500 (EST),2015-12-27,2015-12-27 15:31:53 UTC,Eastern Time (US & Canada),147091,bradleysaul,Bradley Saul,2015-12-27 16:52:00 UTC,2016-08-30 05:36:02 UTC,research,CC0,http://www.inaturalist.org/observations/2507862,https://inaturalist-open-data.s3.amazonaws.com/photos/2817535/medium.jpg,,,,1,0,false,3,"Sumter National Forest, Abbeville, SC, US",34.0968796145,-82.3605094851,5,,,,5,,,false,,,,Abbeville,South Carolina,United States,South Carolina,Abbeville,River Cane,Arundinaria gigantea,river cane,Plantae,121747
2536614,2016-01-01 3:16:50 PM CST,2016-01-01,2016-01-01 21:16:50 UTC,Central Time (US & Canada),34728,cosmiccat,Cosmic Cat,2016-01-02 00:50:10 UTC,2018-04-26 16:30:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2536614,https://inaturalist-open-data.s3.amazonaws.com/photos/2834869/medium.jpeg,,"",,1,0,false,2,"Titus County, US-TX, US",33.05578568,-95.0938164,10,,,,10,,,false,,,,Titus,Texas,United States,Texas,Titus,river cane,Arundinaria gigantea,river cane,Plantae,121747
2550516,2016-01-03,2016-01-03,,Central Time (US & Canada),34728,cosmiccat,Cosmic Cat,2016-01-04 01:50:22 UTC,2017-09-26 05:34:09 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2550516,https://inaturalist-open-data.s3.amazonaws.com/photos/2843486/medium.JPG,,"","",1,0,false,,"Mineola nature preserve, mineola, tx",32.631849,-95.459143,27,,,,27,,,false,,,,Wood,Texas,United States,Texas,Wood,River Cane,Arundinaria gigantea,river cane,Plantae,121747
2556901,Mon Jan 04 2016 15:06:59 GMT-0500 (EST),2016-01-04,2016-01-04 20:06:59 UTC,Eastern Time (US & Canada),15723,reallifeecology,Jonathan (JC) Carpenter,2016-01-04 22:37:17 UTC,2016-04-04 07:11:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2556901,https://inaturalist-open-data.s3.amazonaws.com/photos/2846580/medium.jpg,,,,1,0,false,3,"Chickamauga and Chattanooga National Military Park, Fort Oglethorpe, GA, US",34.9060346419,-85.2417147719,5,,,,5,,,false,,,Greater Chattanooga,Catoosa,Georgia,United States,Georgia,Catoosa,River Cane,Arundinaria gigantea,river cane,Plantae,121747
